Id,Start,Duration,Price
EMERY84015,2027237,464,15841
PRAM002515,2019235,879,13
CELLO00172,2022230,945,12580
CHUG236495,2028190,91,18328
COMET19045,2019093,625,720
ZANY327705,2025255,178,7046
TRIOS15749,2027192,195,185712
MOUNT84070,2019323,742,171258
MINCE64405,2018059,992,1482
DRILL85097,2022002,789,4605
ASKEW55833,2023200,595,6482
CURES19633,2028246,832,8437
MINK027052,2019089,4,162498
CUFFS17528,2019299,763,19401
NORM437992,2023348,526,28130
LUNCH25968,2019169,445,22156
HOMES60678,2018107,656,4402
LESS081708,2020312,207,3364
EVEN594199,2028198,606,2583
LIRE950795,2027318,351,56940
DARED72398,2025042,164,973
TREND51881,2020293,7,79365
RISE629477,2025290,736,52281
TITHE70706,2019131,693,15181
BRIBE32530,2024038,851,8979
SIDES39542,2023340,457,14909
BOND876974,2018205,67,17284
KNOWS10483,2028215,902,8203
DOES731911,2020241,776,86358
WRONG83715,2024035,273,196005
BUDS254265,2024007,298,8370
NOR6816591,2019106,248,1058
LAID066103,2020277,833,2303
LEARN26688,2019141,641,6210
VALET66113,2019327,809,125487
LEAT378006,2023255,502,55167
GRAVY66600,2020037,15,49275
AGED148639,2020012,805,816
PALS274211,2024272,819,20976
NONCE62971,2027257,177,22446
HOODS20481,2027349,903,2886
MILES62436,2022362,699,26061
DRILY36841,2024337,116,7590
HALT674617,2019257,667,1825
TOIL914698,2022025,251,686
FLOSS65799,2020240,731,26412
WAGED77480,2019353,319,193815
BAT5814045,2021365,56,85410
LASTS95545,2025051,825,10543
AUKS837343,2023224,309,5698
FIORD95939,2020083,448,18147
DOGE882113,2027200,431,20648
SCULL09202,2022212,628,12961
TORCH43410,2027304,215,2910
LEE7956816,2028098,398,420
ESSAY02551,2028015,32,2821
AWE7936097,2024129,696,16711
ADEPT34782,2022131,11,6909
SWOP309528,2021118,45,4875
BLANK04944,2028226,869,8658
ELEGY80593,2026093,936,7279
HANGS43049,2019072,107,110376
LOATH82180,2018097,690,175200
GOERS40203,2028307,285,16585
IDLES63564,2022292,607,210
CAST386230,2026363,217,3365
QUEST42427,2020283,82,3927
CAM9639887,2019004,364,2335
JAMBS49988,2020306,524,105561
RIGS727111,2023133,868,1173
CACTI93867,2019016,489,16307
MUSTS04067,2018190,86,51060
WORK896104,2028365,551,1320
MUSHY05062,2019148,760,9295
WILES50818,2022032,209,4945
DAMN037118,2021004,349,16994
CRASS54760,2024193,59,12172
PUG6887453,2024198,777,89790
AWAY875245,2028184,688,1271
SLUM207441,2025320,705,1037
RABBI41540,2019246,545,1150
HOMES14931,2025270,844,15334
CUFFS38162,2021010,765,3472
THONG57586,2020348,38,15748
PEAT832806,2019193,412,725
LINO381943,2023134,347,275
CRAZE43593,2022021,392,25141
TREWS18145,2022129,802,214401
OAKS272997,2018179,736,41829
AEONS73999,2024216,58,260
QUART10678,2020133,949,134247
GRAFT28232,2019219,952,1060
THUMB50241,2028315,574,680
ODDLY15607,2025330,798,5135
EAGLE08054,2020209,369,101898
DEAN801122,2028041,494,4927
MATES55365,2019128,685,3140
GRID134000,2022269,273,8007
KINKY41781,2027093,754,4910
TAXI043331,2027092,336,3689
DIE4915513,2019048,991,187683
HELPS49726,2021309,193,1640
SMOG577141,2024098,822,345
CHAPS58868,2019184,373,12064
TRILL61451,2027098,14,17112
WHEY315120,2024247,845,4884
HAIRS81515,2022285,503,29970
SHAWL16041,2021254,133,3375
MUMPS57783,2028007,94,20243
SMOTE05489,2020331,563,713
ROBE960554,2028127,488,5369
SHAM010770,2020334,400,6409
FALLS68343,2027128,335,3125
COMMA56338,2027242,122,4018
WENT459065,2018137,935,3345
PASTE87351,2018128,652,45333
HEW7153986,2019111,215,25823
COMMA81000,2018042,95,26877
ABLY246229,2025127,394,25419
WHEAT35164,2026091,886,108336
MELON49887,2028324,840,13857
BAULK55876,2026121,172,5486
PITH195668,2021296,460,22562
LUSTS32255,2023122,67,2024
MOWER25484,2023146,992,3542
VOIDS45804,2025323,319,11594
STAGS15346,2021061,268,155052
ABETS82462,2022103,310,515
WRACK00188,2018068,895,6913
WALTZ23890,2027275,296,22227
JOULE01368,2023279,596,16740
OWES838781,2019207,131,4368
PSALM48224,2020171,19,18630
PALS708676,2025353,828,6968
DADO185241,2022329,965,4745
DEAD633024,2018161,744,91323
WE09799830,2028076,982,12090
DREAD35912,2023202,66,65823
AREAL08672,2021315,932,11107
MOPS289441,2018319,316,21762
WOUND87196,2018318,122,1420
MOUSY17669,2020063,470,221
FRAY515513,2025169,580,1261
HEX0103124,2021337,794,10385
MUCKS30787,2023275,979,7752
HORN805279,2028108,255,4600
PIES399553,2020096,369,6789
ADDS190532,2027200,386,9016
PUTT588245,2021051,46,17236
SHINS71590,2026282,238,1190
OPEN544062,2019359,151,86247
KNEW039087,2028021,559,4738
APTLY47907,2018195,971,13124
DIODE58327,2019088,328,68931
CUED332888,2022177,521,4968
GOUGE04712,2026002,606,10088
RACE555033,2021240,607,2394
CURB161830,2022228,450,15111
FLUES06067,2020014,802,1010
DROVE66100,2025283,401,1921
WAD2669752,2023252,651,86358
CASTE64254,2026198,944,25607
WHIZZ38911,2020054,889,2730
IDOLS16305,2027083,491,1930
ZANY948535,2024329,945,5992
COVER19000,2018330,802,48618
DIVOT51005,2018238,215,19082
CLIMB12082,2028088,321,16027
SHEER79347,2019058,36,574
BRAVE58315,2020343,336,61938
ETHYL31388,2022148,770,10946
ALIEN14235,2028330,543,3255
UPPER09381,2020204,93,19159
CLANS32373,2028066,933,21049
EASEL88779,2027138,276,12116
FERN207020,2020015,330,15207
CURED88167,2018263,476,1334
SPACE57219,2019244,407,175
GAFF360872,2022060,629,20677
TARS892867,2027135,284,20329
LUG3671873,2019078,900,3325
RUGS836849,2027236,626,5677
RONDO59875,2023100,593,1570
WATTS20554,2022231,1,12903
TITHE98098,2018003,18,46953
PUT7938096,2026311,395,68766
HOVE116269,2027173,224,108336
BUNS100022,2018164,972,12121
IDEAL31930,2027155,693,5772
ADDED38181,2021305,252,11271
AUK8683264,2023017,938,11128
HOOD221484,2019327,476,2890
